tranx_date,tranx_date,symbol,open,close,low,high,vol,vwap,trade_count
2018-07-13 00:00:00-04:00,2018-07-13 00:00:00-04:00,GLP,17.2,17.2,17.1654,17.35,25285.0,17.246118,155.0
2018-07-16 00:00:00-04:00,2018-07-16 00:00:00-04:00,GLP,17.25,17.3,17.1,17.3,16666.0,17.211516,120.0
2018-07-17 00:00:00-04:00,2018-07-17 00:00:00-04:00,GLP,17.3,17.1,17.1,17.3,20790.0,17.1653,207.0
2018-07-18 00:00:00-04:00,2018-07-18 00:00:00-04:00,GLP,17.25,17.45,17.14,17.5,25632.0,17.3291,197.0
2018-07-19 00:00:00-04:00,2018-07-19 00:00:00-04:00,GLP,17.45,17.35,17.15,17.599,36505.0,17.415968,226.0
2018-07-20 00:00:00-04:00,2018-07-20 00:00:00-04:00,GLP,17.4,17.4,17.2,17.4,20310.0,17.324246,125.0
2018-07-23 00:00:00-04:00,2018-07-23 00:00:00-04:00,GLP,17.45,17.3875,17.35,17.7,32230.0,17.507579,264.0
2018-07-24 00:00:00-04:00,2018-07-24 00:00:00-04:00,GLP,17.4,17.45,17.35,17.5,41660.0,17.393353,301.0
2018-07-25 00:00:00-04:00,2018-07-25 00:00:00-04:00,GLP,17.5,17.75,17.3001,17.75,37673.0,17.572177,193.0
2018-07-26 00:00:00-04:00,2018-07-26 00:00:00-04:00,GLP,17.7,17.75,17.66,17.85,30157.0,17.740183,154.0
2018-07-27 00:00:00-04:00,2018-07-27 00:00:00-04:00,GLP,17.85,18.15,17.8,18.25,96405.0,18.078443,450.0
2018-07-30 00:00:00-04:00,2018-07-30 00:00:00-04:00,GLP,18.15,18.45,18.15,18.55,77426.0,18.399923,420.0
2018-07-31 00:00:00-04:00,2018-07-31 00:00:00-04:00,GLP,18.5,19.0,18.45,19.1,134492.0,18.818538,395.0
2018-08-01 00:00:00-04:00,2018-08-01 00:00:00-04:00,GLP,19.25,19.3,18.9,19.3115,68598.0,19.18246,354.0
2018-08-02 00:00:00-04:00,2018-08-02 00:00:00-04:00,GLP,19.3,19.5,19.278,19.8,95562.0,19.582749,419.0
